Run  RI  Mean      95% CI      SD        Best    % Correct 
5    0   14.328    0.292384    3.33567   25      43.8596 %
5    1   21.896    0.157964    1.80213   27      47.3684 %
5    2   24.29     0.213014    2.43017   29      50.8772 %
5    3   26.84     0.225522    2.57287   32      56.1404 %
5    4   28.33     0.258698    2.95136   34      59.6491 %
5    5   29.946    0.324847    3.70602   34      59.6491 %
5    6   31.488    0.306843    3.50062   34      59.6491 %
5    7   31.924    0.337072    3.84549   35      61.4035 %
5    8   32.15     0.369428    4.21462   35      61.4035 %
5    9   32.668    0.398252    4.54346   36      63.1579 %
5    10  33.266    0.410489    4.68307   37      64.9123 %
5    11  32.852    0.466816    5.32568   37      64.9123 %
5    12  33.628    0.450599    5.14067   37      64.9123 %
5    13  33.92     0.475958    5.42997   38      66.6667 %
5    14  33.802    0.503325    5.74219   38      66.6667 %
5    15  34.77     0.511565    5.8362    39      68.4211 %
5    16  35.402    0.471887    5.38353   39      68.4211 %
5    17  35.394    0.536465    6.12027   39      68.4211 %
5    18  35.21     0.557708    6.36261   39      68.4211 %
5    19  35.382    0.54592     6.22813   39      68.4211 %
5    20  35.56     0.535141    6.10516   39      68.4211 %
5    21  36.106    0.483223    5.51285   39      68.4211 %
5    22  35.796    0.503536    5.7446    39      68.4211 %
5    23  36.026    0.479758    5.47332   39      68.4211 %
5    24  35.614    0.517698    5.90616   39      68.4211 %
5    25  35.818    0.536308    6.11848   39      68.4211 %
5    26  36.202    0.473197    5.39847   39      68.4211 %
5    27  35.136    0.562379    6.4159    39      68.4211 %
5    28  35.982    0.502857    5.73685   39      68.4211 %
5    29  35.98     0.520121    5.9338    39      68.4211 %
5    30  35.898    0.510741    5.82679   39      68.4211 %
5    31  36.576    0.439657    5.01583   39      68.4211 %
5    32  36.23     0.481486    5.49304   39      68.4211 %
5    33  35.654    0.528073    6.02452   39      68.4211 %
5    34  35.716    0.534139    6.09374   39      68.4211 %
5    35  36.302    0.465037    5.30538   39      68.4211 %
5    36  35.184    0.556853    6.35286   39      68.4211 %
5    37  35.678    0.530923    6.05704   39      68.4211 %
5    38  35.574    0.542358    6.18749   39      68.4211 %
5    39  35.952    0.51681     5.89603   39      68.4211 %
5    40  35.72     0.502428    5.73196   39      68.4211 %
5    41  35.444    0.536581    6.12159   39      68.4211 %
5    42  36.124    0.492985    5.62422   39      68.4211 %
5    43  36.1      0.501142    5.71729   39      68.4211 %
5    44  36.042    0.466074    5.31722   39      68.4211 %
5    45  35.714    0.535039    6.10399   39      68.4211 %
5    46  36.128    0.509987    5.81819   39      68.4211 %
5    47  36.418    0.453509    5.17386   40      70.1754 %
5    48  36.214    0.488684    5.57516   40      70.1754 %
5    49  36.934    0.502336    5.73091   40      70.1754 %
5    50  36.624    0.563317    6.4266    40      70.1754 %
5    51  37.166    0.5001      5.7054    40      70.1754 %
5    52  36.572    0.538914    6.1482    40      70.1754 %
5    53  36.364    0.551891    6.29625   40      70.1754 %
5    54  36.788    0.517951    5.90905   40      70.1754 %
5    55  36.442    0.556856    6.3529    40      70.1754 %
5    56  37.056    0.493237    5.62709   40      70.1754 %
5    57  37.114    0.495915    5.65765   40      70.1754 %
5    58  36.352    0.545694    6.22556   40      70.1754 %
5    59  36.502    0.556409    6.3478    40      70.1754 %
5    60  36.846    0.508132    5.79702   40      70.1754 %
5    61  36.91     0.524765    5.98678   40      70.1754 %
5    62  36.54     0.543123    6.19622   40      70.1754 %
5    63  36.536    0.557423    6.35937   40      70.1754 %
5    64  37.33     0.496629    5.6658    40      70.1754 %
5    65  36.478    0.555825    6.34113   40      70.1754 %
5    66  36.724    0.538364    6.14193   40      70.1754 %
5    67  36.64     0.531677    6.06564   40      70.1754 %
5    68  36.682    0.497433    5.67497   40      70.1754 %
5    69  36.402    0.546232    6.2317    40      70.1754 %
5    70  36.706    0.531193    6.06012   40      70.1754 %
5    71  36.938    0.521647    5.95122   40      70.1754 %
5    72  36.556    0.561785    6.40914   40      70.1754 %
5    73  36.84     0.511124    5.83116   40      70.1754 %
5    74  36.842    0.517371    5.90243   40      70.1754 %
5    75  36.59     0.524501    5.98377   40      70.1754 %
5    76  36.438    0.576364    6.57546   41      71.9298 %
5    77  36.476    0.547675    6.24816   41      71.9298 %
5    78  37.468    0.528296    6.02707   41      71.9298 %
5    79  37.644    0.567474    6.47403   41      71.9298 %
5    80  38.258    0.483674    5.518     41      71.9298 %
5    81  37.982    0.525643    5.9968    41      71.9298 %
5    82  37.532    0.5398      6.15831   41      71.9298 %
5    83  37.2      0.576403    6.5759    41      71.9298 %
5    84  37.73     0.542561    6.18981   41      71.9298 %
5    85  38.416    0.475677    5.42677   41      71.9298 %
5    86  37.566    0.535308    6.10706   41      71.9298 %
5    87  37.42     0.566485    6.46275   41      71.9298 %
5    88  37.468    0.579394    6.61002   41      71.9298 %
5    89  37.648    0.5473      6.24388   41      71.9298 %
5    90  37.362    0.547995    6.25181   41      71.9298 %
5    91  37.824    0.504961    5.76085   41      71.9298 %
5    92  37.284    0.572566    6.53213   42      73.6842 %
5    93  38.358    0.533119    6.08209   42      73.6842 %
5    94  38.544    0.567629    6.4758    43      75.4386 %
5    95  38.964    0.511126    5.83118   43      75.4386 %
5    96  39.526    0.542591    6.19015   43      75.4386 %
5    97  39.524    0.567258    6.47157   43      75.4386 %
5    98  39.184    0.5928      6.76296   43      75.4386 %
5    99  39.364    0.544447    6.21133   43      75.4386 %
5    100 39.78     0.535839    6.11313   43      75.4386 %
